Agency,Bureau,Account,Program,Cohort Year,Original Subsidy Rate (%),Current Reestimated Rate (%),Change Due to Interest Rates (pct pts),Change Due to Technical (pct pts),Current Reestimate Amt ($K),Net Lifetime Reestimate ($K),Net Lifetime Reest Excl Interest ($K),Total Disbursements ($K),Outstanding Balance ($K)
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2020,27.63,23.1,-9.37,4.84,-1023,-617,-634,13723,13459
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2021,15.56,17.74,,2.18,55,245,228,12000,11997
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2022,8.07,8.82,,0.75,29,78,70,8059,7975
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2023,17.54,19.76,,2.22,141,180,184,8497,8497
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2024,30.35,34.32,,3.97,41,41,39,1186,1186
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,1994,25.42,27.99,3.15,-0.58,-*,489,165,13068,
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2009,20.89,(2),,,,,,27594,
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2010,13.05,10.66,-1.58,-0.81,267,-374,-482,19754,264
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2011,17.91,6.47,-9.76,-1.68,,-2669,-2777,24606,
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2012,12.98,6.44,-5.29,-1.25,2,-1637,-2248,34804,221
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2013,12.39,7.97,-2.55,-1.87,-1,-1731,-1924,43576,
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2014,8.45,8.47,1.06,-1.04,-21,-192,-42,71440,3783
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2015,12.77,7.75,-3.92,-1.1,2,-1375,-1596,31848,3505
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2016,13.39,8.72,-3.09,-1.58,2,-1313,-1737,37105,7080
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2017,14.23,10.51,-1.71,-2.01,19,-1301,-1323,35655,12917
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2018,12.92,8.48,-1.53,-2.92,108,-1707,-2102,47989,21441
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2019,13.35,7.6,-6.43,0.68,23,-2336,-2410,42009,23494
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2020,16.78,5.19,-10.89,-0.7,159,-3468,-4469,38959,25030
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2021,9.55,7.15,1.41,-3.8,4,-413,-448,18492,12717
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2022,4.68,16.65,12.45,-0.48,4579,4626,4573,40721,36406
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2023,9.87,9.09,,-0.78,-386,-444,-643,72588,69423
Department of Agriculture,Rural Business-Cooperative Service,Rural Economic Development Loans,Rural Economic Development Loans,2024,17.86,17.64,,-0.22,-49,-49,-48,8715,8698
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,1992,14.1,14.82,4.93,-4.21,175,-7658,-1261,550277,39208
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,1993,12.69,17.88,9.2,-4.01,-183,12806,24656,596024,47053
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,1994,16.18,16.11,4.69,-4.76,80,-9970,-4850,649449,60396
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,1995,15.28,14.62,2.9,-3.56,591,-15899,-10519,773220,73231
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,1996,22.5,14.04,-4.95,-3.51,1019,-54093,-48026,562845,83478
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,1997,9.02,12.49,6.43,-2.96,1218,23846,22997,774515,103529
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,1998,9.76,12.16,5.13,-2.73,5377,15826,14257,753031,118782
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,1999,16.52,10.17,-1.73,-4.62,5774,-46914,-41841,689838,132428
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2000,7.1,10,6.89,-3.99,3778,-12812,-4047,729005,153400
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2001,13.59,4.61,-5.89,-3.09,2045,-59113,-60380,727600,165594
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2002,6.88,3.9,-1.87,-1.11,2166,-26922,-29423,1084258,240494
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2003,11.34,4.72,-6.08,-0.54,1766,-46434,-43522,735170,192802
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2004,3.33,3.83,0.26,0.24,303,6827,2778,807317,223959
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2005,9,1.87,-4.51,-2.62,3241,-57786,-52826,843488,245068
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2006,6.91,0.13,-7.15,0.37,1305,-62412,-57399,951897,317299
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2007,9.96,-1.69,-12.2,0.55,2734,-103029,-98278,951001,294419
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2008,10.42,-2.51,-8.46,-4.47,3376,-122195,-118891,1045282,474103
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2009,14.62,4.07,-2.13,-8.42,9533,-120804,-124165,1286632,771207
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2010,7.54,0.11,1.59,-9.01,12160,-155968,-141410,2063994,1382112
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2011,8.58,-2.59,-5.34,-5.83,3519,-96554,-93199,904897,622455
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2012,9.58,-1,-3.55,-7.03,3633,-88090,-80689,833091,611629
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2013,8.07,-5.29,-2.41,-10.95,49833,-103214,-95159,779382,1007558
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2014,-0.87,-1.32,2.81,-3.26,4046,-1920,-2755,678380,563772
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2015,-0.61,-3.09,1.94,-4.43,4995,-16530,-22497,910274,778233
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2016,2.61,0.83,5.06,-6.84,4465,-13872,-17672,1022233,902218
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2017,4.34,-1.43,-0.39,-5.38,3184,-63684,-62931,1126043,1022039
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2018,0.17,2.14,,1.97,-16284,33556,31673,1368105,1268898
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2019,-0.27,7.57,,7.84,14590,70848,66075,845114,803286
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2020,4.56,17.57,,13.01,48279,140554,123515,849398,819545
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2021,-1.53,10.76,,12.29,50672,75222,69109,484666,475967
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2022,-5.16,0.84,,6,13619,17958,17084,236185,232499
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2023,-2.19,-1.11,,1.08,1076,1049,999,95769,94845
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loans,2024,8.35,16.86,,8.51,44,44,43,521,521
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste 1%,2023,13.62,13.85,,0.23,1,1,1,1500,1492
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste 1%,2024,26.95,(4),,,,,,,
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Electric Hardship Loans,1992,18.82,15.65,2.46,-5.63,10,-48043,-26210,564555,1974
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Electric Hardship Loans,1993,12.84,15.31,7.63,-5.16,45,-20015,3944,834525,2525
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Electric Hardship Loans,1996,23.37,10.9,-9.73,-2.74,18,-13849,-11631,86299,359
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Electric Hardship Loans,1998,7.46,6.48,3.95,-4.93,2,-3369,-1874,124414,479
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Electric Hardship Loans,2002,2.98,-3.11,-6.65,0.56,,-5006,-7187,123792,
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Electric Hardship Loans,2004,-2.33,-1.34,-3.03,4.02,-2,6314,2324,239688,976
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Electric Hardship Loans,2008,0.12,-9.77,-18.48,8.59,,-4390,-8859,97594,
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Electric Hardship Loans,2011,-7.38,-4.98,-20.54,22.93,,1114,239,14610,
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,1994,11.26,14.45,9.73,-6.54,268,13711,6093,374439,10536
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,1995,8.58,12.87,10.9,-6.61,145,21255,11831,472329,10774
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,1996,10.44,13.75,6.35,-3.04,566,8622,10333,512985,31102
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,1997,6.2,12.92,14.1,-7.38,454,23130,25785,439744,22339
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,1998,4.22,11.35,12.59,-5.46,807,33233,30361,487787,28399
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,1999,8.76,9.9,8.81,-7.67,462,-2662,1662,294990,18959
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,2000,3.67,16.55,13.35,-0.47,887,35143,32093,294870,21362
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,2001,6.95,21.01,10.11,3.95,1233,52866,28174,293670,84049
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,2002,-0.09,5.9,10.07,-4.08,1193,34939,25359,499862,43683
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,2003,4.03,10.94,9.74,-2.83,368,11565,-8,101322,11279
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,2004,-2.42,5.18,10.76,-3.16,1233,49687,41272,617551,54146
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,2005,1.35,8.93,13.94,-6.36,468,8379,6091,100075,15581
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,2006,5.05,5.39,4.56,-4.22,529,-924,-587,100764,28365
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Municipal Electric Loans,2007,1.51,3.28,3.13,-1.36,275,1361,1222,100764,21949
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Treasury Electric Loans,2001,0,-0.03,0.51,-0.54,197,7830,-6271,500000,7706
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Treasury Electric Loans,2002,-0.04,2.24,0.43,1.85,1216,23617,7608,746035,69499
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Treasury Electric Loans,2003,-0.04,0.04,-0.71,0.79,149,2365,-3150,1150000,117755
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Treasury Electric Loans,2004,-0.06,0.01,0.43,-0.36,622,-678,-7111,1173054,78274
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Treasury Electric Loans,2005,-0.05,1.04,2.16,-1.07,-69,14100,5736,994894,101413
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Treasury Electric Loans,2006,0.01,1.19,2.28,-1.1,1576,25418,9012,984693,109510
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Treasury Electric Loans,2007,0,-0.36,-2.77,2.41,802,6609,-4191,958165,105778
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Treasury Electric Loans,2022,-3.98,-12.07,,-8.09,-48411,-269302,-245785,2151506,2149035
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Treasury Electric Loans,2023,-2.96,-15.34,,-12.38,-198822,-201474,-188028,1581954,1581630
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Treasury Electric Loans,2024,-1.95,-9.1,,-7.15,-11791,-11791,-11342,162653,162625
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Electric Loans,1992,1.8,4.47,1.3,1.37,-17,19905,18614,715687,654
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Electric Loans,1993,4.51,-0.64,5.07,-10.22,-12,-17193,-37470,772252,527
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Electric Loans,1995,-0.03,-0.71,8.71,-9.39,-51,-4432,-2476,296148,1225
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Electric Loans,1996,0.84,-0.49,6.79,-8.12,-77,-4865,-2745,179858,3670
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Electric Loans,1997,0.93,-2.03,2.12,-5.08,-170,-1946,-8640,284765,14168
